City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Porangatu,BR,80.47,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
645,Cimitarra,CO,85.86,overcast clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
647,Champerico,GT,86.54,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
649,Poso,ID,83.34,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
650,Galle,LK,75.78,few clouds,6.0367,80.217,Amangalla
652,Filingue,NE,79.68,overcast clouds,14.3521,3.3168,Chez Zarkilou Issa
657,Quelimane,MZ,82.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
658,Abonnema,NG,84.81,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
678,Tomatlan,MX,86.22,clear sky,19.9333,-105.25,El Salvial
679,Nang Rong,TH,76.03,clear sky,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
681,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
682,Bela Vista,BR,84.69,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
684,Santiago Del Estero,AR,84.52,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
687,Saint-Paul,RE,80.71,overcast clouds,-21.0096,55.2707,Boucan Canot
690,Hinundayan,PH,75.43,moderate rain,10.3523,125.2506,Julies Lodge
