City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Port Blair,IN,2023-01-13 03:54:52,11.6667,92.75,84.24,65,20,9.22
153,Talnakh,RU,2023-01-13 03:54:52,69.4865,88.3972,-32.8,97,97,6.93
154,Itupiranga,BR,2023-01-13 03:54:53,-5.1347,-49.3267,79.12,95,56,2.35
155,Kavieng,PG,2023-01-13 03:54:53,-2.5744,150.7967,84.22,68,76,5.06
156,Lozuvatka,UA,2023-01-13 03:54:53,48.0571,33.2858,22.91,94,98,6.04
157,Sola,VU,2023-01-13 03:54:54,-13.8833,167.55,80.73,78,84,12.8
158,Omsukchan,RU,2023-01-13 03:54:54,62.5333,155.8,-18.58,97,100,6.64
159,Sosua,DO,2023-01-13 03:54:55,19.7667,-70.5167,73.24,88,40,0.0
160,Terrace,CA,2023-01-13 03:54:55,54.5163,-128.6035,33.71,100,100,0.0
161,Petropavlovsk-Kamchatskiy,RU,2023-01-13 03:54:55,53.0452,158.6483,21.79,46,0,2.24
162,Erzin,TR,2023-01-13 03:54:56,36.9559,36.2,42.75,43,67,7.52
163,Hirara,JP,2023-01-13 03:54:56,24.8,125.2833,78.66,73,20,21.85
164,Khatanga,RU,2023-01-13 03:54:56,71.9667,102.5,-42.83,100,100,4.12
165,Rawson,AR,2023-01-13 03:54:57,-43.3002,-65.1023,59.41,67,9,6.38
166,Hjelset,NO,2023-01-13 03:54:57,62.7833,7.4833,33.58,93,51,6.91
167,Nuuk,GL,2023-01-13 03:54:58,64.1835,-51.7216,2.75,74,88,8.01
168,Cockburn Town,TC,2023-01-13 03:54:58,21.4612,-71.1419,76.64,77,54,21.68
169,Road Town,VG,2023-01-13 03:54:10,18.4167,-64.6167,78.19,74,2,17.16
170,Saint-Philippe,RE,2023-01-13 03:54:58,-21.3585,55.7679,81.99,80,49,10.89
171,Nara,JP,2023-01-13 03:54:59,34.6851,135.8049,57.9,59,99,3.8
172,Los Llanos De Aridane,ES,2023-01-13 03:54:59,28.6585,-17.9182,60.55,67,100,13.8
173,Kruisfontein,ZA,2023-01-13 03:55:00,-34.0033,24.7314,64.49,71,17,5.73
174,Shitanjing,CN,2023-01-13 03:55:00,39.2342,106.3439,14.02,72,100,16.82
175,East London,ZA,2023-01-13 03:55:00,-33.0153,27.9116,68.94,94,100,5.75
