City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Kaitangata,NZ,-46.2817,169.8464,47.1,93,50,4.21,scattered clouds
270,Katobu,ID,-4.9408,122.5276,76.32,87,55,2.91,broken clouds
271,Mar Del Plata,AR,-38.0023,-57.5575,74.08,61,40,13.8,scattered clouds
272,Llallagua,BO,-18.4167,-66.6333,63.19,15,0,11.95,clear sky
273,Wichita Falls,US,33.9137,-98.4934,48.25,48,0,8.01,clear sky
274,Rio Claro,BR,-22.4114,-47.5614,79.29,74,99,9.17,overcast clouds
275,Teodoro Sampaio,BR,-22.5325,-52.1675,84.76,63,98,7.2,overcast clouds
276,Harnosand,SE,62.6323,17.9379,28.4,100,100,5.21,snow
277,Sampit,ID,-2.5333,112.95,73.98,93,80,2.84,broken clouds
278,Picayune,US,30.5255,-89.6795,51.94,82,28,10.89,scattered clouds
279,Boali,CF,4.8005,18.1275,86.18,17,53,3.27,broken clouds
280,Maniitsoq,GL,65.4167,-52.9,10.44,91,100,17.45,overcast clouds
281,Ostrovnoy,RU,68.0531,39.5131,32.05,90,100,21.65,overcast clouds
282,Winnemucca,US,40.973,-117.7357,35.65,80,0,12.66,clear sky
283,Lima,PE,-12.0432,-77.0282,70.05,73,40,9.22,scattered clouds
284,Cockburn Town,TC,21.4612,-71.1419,77.47,77,26,17.81,scattered clouds
285,Guasave,MX,25.5667,-108.45,76.03,20,0,1.95,clear sky
286,Kulhudhuffushi,MV,6.6221,73.07,79.43,65,15,7.49,few clouds
287,Kamaishi,JP,39.2667,141.8833,48.94,69,100,4.27,overcast clouds
288,Comonfort,MX,20.7167,-100.7667,56.21,40,0,7.74,clear sky
289,Panzhihua,CN,26.5851,101.7128,48.69,57,0,1.86,clear sky
290,Peterongan,ID,-7.5394,112.2792,76.17,86,96,3.11,overcast clouds
291,Iralaya,HN,15.0,-83.2333,81.21,67,67,11.23,broken clouds
292,Koungou,YT,-12.7336,45.2042,76.71,88,0,6.91,clear sky
293,San Pedro,PH,14.35,121.0167,76.35,80,20,4.61,few clouds
294,Havoysund,NO,70.9963,24.6622,35.83,77,64,24.38,light rain
295,Necochea,AR,-38.5473,-58.7368,69.58,50,75,22.03,broken clouds
296,Aykhal,RU,66.0,111.5,-45.11,100,100,3.65,overcast clouds
297,Seminole,US,28.7086,-81.2081,70.25,88,100,14.97,overcast clouds
298,Russell,US,32.3502,-85.1999,45.68,75,100,18.41,overcast clouds
299,Berlevag,NO,70.8578,29.0864,35.6,80,0,9.22,clear sky
300,Banda Aceh,ID,5.5577,95.3222,77.95,83,84,4.61,moderate rain
301,Lasalgaon,IN,20.15,74.2333,62.69,50,0,6.67,clear sky
302,Lata,PT,40.1629,-8.3327,58.91,80,86,1.9,overcast clouds
303,Deputatskiy,RU,69.3,139.9,-41.87,96,99,5.44,overcast clouds
304,Rocha,UY,-34.4833,-54.3333,84.0,28,100,7.45,overcast clouds
305,Tabuny,RU,52.7773,78.7896,6.57,95,97,11.05,overcast clouds
306,Tahta,EG,26.7693,31.5021,58.06,47,60,7.47,broken clouds
307,Solwezi,ZM,-12.1688,26.3894,59.38,97,95,3.11,overcast clouds
308,Shelburne,CA,44.0787,-80.2041,21.99,94,100,18.32,overcast clouds
309,Half Moon Bay,US,37.4636,-122.4286,57.61,89,100,21.85,mist
310,Naples,IT,40.8333,14.25,55.45,73,75,4.61,broken clouds
311,Bardiyah,LY,31.7561,25.0865,59.29,70,16,15.3,few clouds
312,Akdepe,TM,42.0551,59.3788,8.69,47,0,10.87,clear sky
313,Bartow,US,27.8964,-81.8431,68.09,83,75,10.36,broken clouds
314,Naze,JP,28.3667,129.4833,68.92,79,99,18.3,overcast clouds
315,Huntingdon,GB,52.3305,-0.1865,48.15,72,78,11.99,broken clouds
316,Paamiut,GL,61.994,-49.6678,7.75,66,13,13.13,few clouds
317,Shingu,JP,33.7333,135.9833,59.32,95,100,8.05,light rain
318,Souillac,MU,-20.5167,57.5167,79.18,73,75,8.05,broken clouds
319,Palmer,US,42.1584,-72.3287,52.66,85,100,11.5,mist
320,Okha,RU,53.5739,142.9478,-15.14,94,83,17.34,broken clouds
321,Bolshaya Dzhalga,RU,45.9695,42.6966,34.86,77,100,20.47,overcast clouds
322,Les Cayes,HT,18.2,-73.75,82.74,62,20,10.0,light rain
323,Pyapon,MM,16.2833,95.6833,67.48,64,3,6.17,clear sky
324,Kangaatsiaq,GL,68.3065,-53.4641,-2.88,75,99,13.91,overcast clouds
325,Hofn,IS,64.2539,-15.2082,24.82,68,20,12.66,few clouds
326,Fairbanks,US,64.8378,-147.7164,3.6,82,100,0.0,overcast clouds
327,Puerto Rondon,CO,6.2805,-71.1,91.4,43,64,7.78,broken clouds
